Senator (47 in total),Amount received from Amazon,Amount received from Google ,
"SPONSOR: Sen. Murray, Patty [D-WA]","$7,000","$4,000",
"Sen. Schumer, Charles E. [D-NY]*","$2,500","$5,000",
"Sen. Blumenthal, Richard [D-CT]*",No,No,
"Sen. Duckworth, Tammy [D-IL]*","$7,500","$2,500",
"Sen. Booker, Cory A. [D-NJ]*",No,No,
"Sen. Warren, Elizabeth [D-MA]*",No,No,
"Sen. Wyden, Ron [D-OR]*","$10,000","$3,500",
"Sen. Gillibrand, Kirsten E. [D-NY]*",No,No,
"Sen. Cantwell, Maria [D-WA]*",No,No,
"Sen. Murphy, Christopher [D-CT]*",No,"$2,000",
"Sen. Hassan, Margaret Wood [D-NH]*","$7,500","$10,000",
"Sen. Casey, Robert P., Jr. [D-PA]*",No,No,
"Sen. Cardin, Benjamin L. [D-MD]*",No,"No (but received $2,000 for 2024 election)",
"Sen. Merkley, Jeff [D-OR]*",No,"-$4,000 (Voided)",
"Sen. Whitehouse, Sheldon [D-RI]*",No,No,
"Sen. Reed, Jack [D-RI]*","$5,000",No,
"Sen. Durbin, Richard J. [D-IL]*",No,"No (but received $5,000 for 2026 election)",
"Sen. Kaine, Tim [D-VA]*",No,"$1,000",
"Sen. Klobuchar, Amy [D-MN]*",No,No,
"Sen. Brown, Sherrod [D-OH]*",No,No,
"Sen. Lujan, Ben Ray [D-NM]*",No,No,
"Sen. Menendez, Robert [D-NJ]*",No,No,
"Sen. Baldwin, Tammy [D-WI]*","$5,000",No,
"Sen. Sanders, Bernard [I-VT]*",No,No,
"Sen. Cortez Masto, Catherine [D-NV]*","$10,000","$5,000",
"Sen. Van Hollen, Chris [D-MD]*",No,"$4,000",
"Sen. Markey, Edward J. [D-MA]*",No,No,
"Sen. Heinrich, Martin [D-NM]*","$2,500","No (but received $2,000 for 2024 election)",
"Sen. Hirono, Mazie K. [D-HI]*",No,No,
"Sen. Schatz, Brian [D-HI]*","$6,000","$6,000",
"Sen. Smith, Tina [D-MN]*",No,No,
"Sen. Leahy, Patrick J. [D-VT]*","$2,500","$1,000",
"Sen. Carper, Thomas R. [D-DE]*","$5,000","No (but received $3,000 for 2024 election)",
"Sen. Bennet, Michael F. [D-CO]*",No,No,
"Sen. Stabenow, Debbie [D-MI]*",No,"No (but received $2,000 for 2024 election)",
"Sen. Coons, Christopher A. [D-DE]*","$5,000","$4,500",
"Sen. Rosen, Jacky [D-NV]*","$5,000","No (but received $2,000 for 2024 election)",
"Sen. Tester, Jon [D-MT]*",No,"No (but received $3,000 for 2024 election)",
"Sen. Peters, Gary C. [D-MI]*","$7,500","$2,000",
"Sen. Padilla, Alex [D-CA]*",No,"$4,500",
"Sen. Shaheen, Jeanne [D-NH]*","-$2,500 (Voided)",No,
"Sen. Feinstein, Dianne [D-CA]*",No,No,
"Sen. Ossoff, Jon [D-GA]*",No,No,
"Sen. Warnock, Raphael G. [D-GA]*",No,No,
"Sen. Hickenlooper, John W. [D-CO]*",No,No,
"Sen. King, Angus S., Jr. [I-ME]",No,"No (but received $2,000 for 2024 election)",
"Sen. Manchin, Joe, III [D-WV]",No,"No (but received $4,000 for 2024 election)",
,,,
Total ,"$88,000","$55,000.00",(not subtracting voided and not counting 2024 and 2026 election donations)
,,,
,31 Nos,32 Nos,
,15 received money ,14 received money,
