representatives,disbursement_amount
"Rep. Espaillat, Adriano [D-NY-13]*",-1000.0
"Rep. Deutch, Theodore E. [D-FL-22]*",-1000.0
"Rep. Adams, Alma S. [D-NC-12]*",1000.0
"Rep. Evans, Dwight [D-PA-3]*",1000.0
"Rep. Frankel, Lois [D-FL-21]*",1000.0
"Rep. Garamendi, John [D-CA-3]*",1000.0
"Rep. Garcia, Sylvia R. [D-TX-29]*",1000.0
"Rep. Huffman, Jared [D-CA-2]*",1000.0
"Rep. Keating, William R. [D-MA-9]*",1000.0
"Rep. Larson, John B. [D-CT-1]*",1000.0
"Rep. Lieu, Ted [D-CA-33]*",1000.0
"Rep. Lynch, Stephen F. [D-MA-8]*",1000.0
"Rep. McCollum, Betty [D-MN-4]*",1000.0
"Rep. Mfume, Kweisi [D-MD-7]",1000.0
"Rep. Raskin, Jamie [D-MD-8]*",1000.0
"Rep. Rush, Bobby L. [D-IL-1]*",1000.0
"Rep. Schiff, Adam B. [D-CA-28]*",1000.0
"Rep. Waters, Maxine [D-CA-43]",1000.0
"Rep. Lowenthal, Alan S. [D-CA-47]*",1000.0
"Rep. Demings, Val Butler [D-FL-10]*",1000.0
"Rep. Wilson, Frederica S. [D-FL-24]*",1000.0
"Rep. Case, Ed [D-HI-1]",1000.0
"Rep. Davis, Danny K. [D-IL-7]*",1000.0
"Rep. Chu, Judy [D-CA-27]*",1000.0
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]*",1500.0
"Rep. Carbajal, Salud O. [D-CA-24]*",2000.0
"Rep. Takano, Mark [D-CA-41]*",2000.0
"Rep. DeSaulnier, Mark [D-CA-11]*",2000.0
"Rep. Foster, Bill [D-IL-11]*",2000.0
"Rep. Carson, Andre [D-IN-7]*",2000.0
"Rep. Morelle, Joseph D. [D-NY-25]*",2000.0
"Rep. Moulton, Seth [D-MA-6]*",2000.0
"Rep. Mrvan, Frank J. [D-IN-1]*",2000.0
"Rep. Norcross, Donald [D-NJ-1]*",2000.0
"Rep. Hayes, Jahana [D-CT-5]*",2000.0
"Rep. Kahele, Kaiali'i [D-HI-2]*",2000.0
"Rep. Lawrence, Brenda L. [D-MI-14]*",2500.0
"Rep. Clark, Katherine M. [D-MA-5]*",2500.0
"Rep. Dean, Madeleine [D-PA-4]*",2500.0
"Rep. Kuster, Ann M. [D-NH-2]*",2500.0
"Rep. Himes, James A. [D-CT-4]",2500.0
"Rep. Rice, Kathleen M. [D-NY-4]",2500.0
"Rep. Beyer, Donald S., Jr. [D-VA-8]*",2500.0
"Rep. Scott, David [D-GA-13]*",2500.0
"Rep. Smith, Christopher H. [R-NJ-4]*",2500.0
"Rep. Torres, Ritchie [D-NY-15]*",2500.0
"Rep. Cleaver, Emanuel [D-MO-5]*",2500.0
"Rep. Payne, Donald M., Jr. [D-NJ-10]*",2500.0
"Rep. Ross, Deborah K. [D-NC-2]*",3000.0
"Rep. Scanlon, Mary Gay [D-PA-5]*",3000.0
"Rep. Schneider, Bradley Scott [D-IL-10]*",3000.0
"Rep. O'Halleran, Tom [D-AZ-1]*",3500.0
"Rep. Bonamici, Suzanne [D-OR-1]*",3500.0
"Rep. Meeks, Gregory W. [D-NY-5]*",3500.0
"Rep. Barragan, Nanette Diaz [D-CA-44]*",3500.0
"Rep. Maloney, Sean Patrick [D-NY-18]*",3500.0
"Rep. Gonzalez, Vicente [D-TX-15]*",3500.0
"Rep. Clyburn, James E. [D-SC-6]",3500.0
"Rep. Casten, Sean [D-IL-6]*",4000.0
"Rep. Wexton, Jennifer [D-VA-10]",4000.0
"Rep. Soto, Darren [D-FL-9]*",4000.0
"Rep. Sherrill, Mikie [D-NJ-11]*",4000.0
"Rep. Williams, Nikema [D-GA-5]*",4000.0
"Rep. Luria, Elaine G. [D-VA-2]*",4000.0
"Rep. Gomez, Jimmy [D-CA-34]*",4500.0
"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",5000.0
"Rep. DeFazio, Peter A. [D-OR-4]*",5000.0
"Rep. Stevens, Haley M. [D-MI-11]*",5000.0
"Rep. Eshoo, Anna G. [D-CA-18]*",5000.0
"Rep. Kildee, Daniel T. [D-MI-5]*",5000.0
"Rep. Langevin, James R. [D-RI-2]*",5000.0
"Rep. DeGette, Diana [D-CO-1]*",5000.0
"Rep. Lee, Barbara [D-CA-13]*",5000.0
"Rep. Thompson, Bennie G. [D-MS-2]*",5000.0
"Rep. Stanton, Greg [D-AZ-9]*",5500.0
"Rep. Davids, Sharice [D-KS-3]",5500.0
"Rep. Veasey, Marc A. [D-TX-33]*",6500.0
"Rep. Blumenauer, Earl [D-OR-3]*",7500.0
"Rep. Kelly, Robin L. [D-IL-2]*",7500.0
"Rep. Ruiz, Raul [D-CA-36]*",8500.0
"Rep. Gallego, Ruben [D-AZ-7]*",8500.0
"Rep. Swalwell, Eric [D-CA-15]*",10000.0
"Rep. Strickland, Marilyn [D-WA-10]",10000.0
"Rep. Lofgren, Zoe [D-CA-19]",10000.0
"Rep. Beatty, Joyce [D-OH-3]*",10000.0
"Rep. Smith, Adam [D-WA-9]*",10000.0
"Rep. Connolly, Gerald E. [D-VA-11]*",10000.0
"Rep. Horsford, Steven [D-NV-4]*",10000.0
"Rep. Hoyer, Steny H. [D-MD-5]*",10000.0
"Rep. Kilmer, Derek [D-WA-6]*",10000.0
"Rep. Larsen, Rick [D-WA-2]*",10000.0
"Rep. Matsui, Doris O. [D-CA-6]*",10000.0
"Rep. Fitzpatrick, Brian K. [R-PA-1]*",10000.0
"Rep. DelBene, Suzan K. [D-WA-1]",10000.0
