senators,disbursement_amount
"Sen. Shaheen, Jeanne [D-NH]*",-2500.0
"Sen. Heinrich, Martin [D-NM]*",2500.0
"Sen. Leahy, Patrick J. [D-VT]*",2500.0
"Sen. Schumer, Charles E. [D-NY]*",2500.0
"Sen. Baldwin, Tammy [D-WI]*",5000.0
"Sen. Carper, Thomas R. [D-DE]*",5000.0
"Sen. Coons, Christopher A. [D-DE]*",5000.0
"Sen. Reed, Jack [D-RI]*",5000.0
"Sen. Rosen, Jacky [D-NV]*",5000.0
"Sen. Schatz, Brian [D-HI]*",6000.0
"Sen. Murray, Patricia [D-WA]",7000.0
"Sen. Peters, Gary C. [D-MI]*",7500.0
"Sen. Cortez Masto, Catherine [D-NV]*",10000.0
"Sen. Hassan, Margaret Wood [D-NH]*",10000.0
"Sen. Wyden, Ron [D-OR]*",10000.0
"Sen. Duckworth, Tammy [D-IL]*",7500.0
"Sen. Duckworth, Tammy [D-IL]*",7500.0
