senators,disbursement_amount,representatives
"Sen. Merkley, Jeff [D-OR]*",-4000.0,
"Sen. Kaine, Tim [D-VA]*",1000.0,
"Sen. Leahy, Patrick J. [D-VT]*",1000.0,
"Sen. Heinrich, Martin [D-NM]*",2000.0,
"Sen. King, Angus S., Jr. [I-ME]",2000.0,
"Sen. Peters, Gary C. [D-MI]*",2000.0,
"Sen. Rosen, Jacky [D-NV]*",2000.0,
"Sen. Stabenow, Debbie [D-MI]*",2000.0,
"Sen. Duckworth, Tammy [D-IL]*",2500.0,
"Sen. Tester, Jon [D-MT]*",3000.0,
"Sen. Manchin, Joe, III [D-WV]",4000.0,
"Sen. Padilla, Alex [D-CA]*",4500.0,
"Sen. Schumer, Charles E. [D-NY]*",5000.0,
"Sen. Schatz, Brian [D-HI]*",6000.0,
"Sen. Wyden, Ron [D-OR]*",6000.0,
"Sen. Duckworth, Tammy [D-IL]*",7500.0,
,-2500.0,"Rep. Torres, Ritchie [D-NY-15]*"
,-2000.0,"Rep. Castro, Joaquin [D-TX-20]*"
,-1000.0,"Rep. Garcia, Sylvia R. [D-TX-29]*"
,-1000.0,"Rep. Sires, Albio [D-NJ-8]*"
,1000.0,"Rep. Mfume, Kweisi [D-MD-7]"
,1000.0,"Rep. McCollum, Betty [D-MN-4]*"
,1000.0,"Rep. Luria, Elaine G. [D-VA-2]*"
,1000.0,"Rep. Larsen, Rick [D-WA-2]*"
,1000.0,"Rep. Williams, Nikema [D-GA-5]*"
,1000.0,"Rep. Adams, Alma S. [D-NC-12]*"
,1000.0,"Rep. Houlahan, Chrissy [D-PA-6]"
,1000.0,"Rep. Gonzalez, Vicente [D-TX-15]*"
,1000.0,"Rep. Gallego, Ruben [D-AZ-7]*"
,1000.0,"Rep. Frankel, Lois [D-FL-21]*"
,1000.0,"Rep. Foster, Bill [D-IL-11]*"
,1000.0,"Rep. Norcross, Donald [D-NJ-1]*"
,1000.0,"Rep. Huffman, Jared [D-CA-2]*"
,1000.0,"Rep. Perlmutter, Ed [D-CO-7]*"
,1000.0,"Rep. Pingree, Chellie [D-ME-1]*"
,1000.0,"Rep. Quigley, Mike [D-IL-5]*"
,1000.0,"Rep. Raskin, Jamie [D-MD-8]*"
,1000.0,"Rep. Ryan, Tim [D-OH-13]*"
,1000.0,"Rep. Sherman, Brad [D-CA-30]*"
,1000.0,"Rep. Smith, Adam [D-WA-9]*"
,1000.0,"Rep. Speier, Jackie [D-CA-14]*"
,1000.0,"Rep. Stevens, Haley M. [D-MI-11]*"
,1000.0,"Rep. Titus, Dina [D-NV-1]*"
,1000.0,"Rep. Vargas, Juan [D-CA-51]*"
,1000.0,"Rep. Welch, Peter [D-VT-At Large]*"
