committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00428623,GOOGLE LLC NETPAC,2021,M3,202103199441661139,23,EXPB247304,1505571,CCM,CAMPAIGN COMMITTEE,C00443580,C00443580,LUMMIS FOR WYOMING INC.,WY,LUMMIS FOR WYOMING INC.,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,REVERSAL OF TRANSACTION DATED 12/16/20,,,2021-02-09 0:00:00,-5000,S,SENATE,,S0WY00137,"LUMMIS, CYNTHIA",CYNTHIA,LUMMIS,,,,WY,WYOMING,P,G2020 DEBT,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-03-23 14:46:26,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4032020211261827420,CASPER,82601,CONTRIBUTIONS,,2022,SB,4032320211262032604,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441661139,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M3,202203189494025963,23,EB265048,1575456,CCM,CAMPAIGN COMMITTEE,C00459255,C00459255,"FRIENDS OF TODD YOUNG, INC.",IN,"FRIENDS OF TODD YOUNG, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 9/30/21,,,2022-02-18 0:00:00,-5000,S,SENATE,,S6IN00191,"YOUNG, TODD",TODD,YOUNG,,,,IN,INDIANA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-24 3:35:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4031820221460873592,CARMEL,46082,CONTRIBUTIONS,,2022,SB,4032320221464067195,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494025963,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M4,202104209445051828,23,EXPB247277,1513962,CCM,CAMPAIGN COMMITTEE,C00714261,C00714261,SALAZAR FOR CONGRESS,VA,SALAZAR FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY ISSUED 12/16/2020,,,2021-03-04 0:00:00,-5000,H,HOUSE,27,H8FL27185,"SALAZAR, MARIA ELVIRA",MARIA ELVIRA,SALAZAR,,,,FL,FLORIDA,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2021-04-26 5:14:17,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4042320211278759013,ALEXANDRIA,22308,CONTRIBUTIONS,,2022,SB,4042520211279064836,https://docquery.fec.gov/cgi-bin/fecimg/?202104209445051828,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M10,202110209468198856,23,EXPB259526,1546087,COM,OTHER COMMITTEE,C00409730,C00409730,NEW DEMOCRAT COALITION ACTION FUND,DC,NEW DEMOCRAT COALITION ACTION FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 3/5/21,,,2021-09-01 0:00:00,-5000,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-26 3:53:23,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4102120211374312457,WASHINGTON,20003,CONTRIBUTIONS,,2022,SB,4102620211375774899,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468198856,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M6,202106189449644624,23,EXPB251723,1521013,CCM,CAMPAIGN COMMITTEE,C00437277,C00437277,JEFF MERKLEY FOR OREGON,OR,JEFF MERKLEY FOR OREGON,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 10/28/20,,,2021-05-18 0:00:00,-4000,S,SENATE,,S8OR00207,"MERKLEY, JEFF",JEFF,MERKLEY,,,,OR,OREGON,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2021-06-23 4:55:47,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4061920211309407373,PORTLAND,97293,CONTRIBUTIONS,,2022,SB,4062320211309668900,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449644624,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M9,202209209528744377,23,EB274362,1631641,CCM,CAMPAIGN COMMITTEE,C00459255,C00459255,"FRIENDS OF TODD YOUNG, INC.",IN,"FRIENDS OF TODD YOUNG, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 7/1/22,,,2022-08-30 0:00:00,-4000,S,SENATE,,S6IN00191,"YOUNG, TODD",TODD,YOUNG,,,,IN,INDIANA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-23 3:35:16,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4092020221576068947,CARMEL,46082,CONTRIBUTIONS,,2022,SB,4092220221576549485,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528744377,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M2,202202189491797843,23,EB264376,1570683,CCM,CAMPAIGN COMMITTEE,C00660795,C00660795,DAN CRENSHAW FOR CONGESS,TX,DAN CRENSHAW FOR CONGESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 8/13/21,,,2022-01-27 0:00:00,-2500,H,HOUSE,2,H8TX02166,"CRENSHAW, DAN",DAN,CRENSHAW,,,,TX,TEXAS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-04 3:43:34,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4021820221409065608,HOUSTON,77243,CONTRIBUTIONS,,2022,SB,4030320221459492717,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491797843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2021,M4,202104209445051837,23,EXPB247308,1513962,COM,OTHER COMMITTEE,C00307991,C00307991,GUN SAFETY PAC,RI,GUN SAFETY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY ISSUED 9/16/2020,,,2021-03-11 0:00:00,-2500,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2021-04-26 5:14:17,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4042320211278759013,PROVIDENCE,2903,CONTRIBUTIONS,,2022,SB,4042520211279064863,https://docquery.fec.gov/cgi-bin/fecimg/?202104209445051837,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M4,202204209500165289,23,EB266402,1589497,CCM,CAMPAIGN COMMITTEE,C00737767,C00737767,VICTORIA SPARTZ FOR CONGRESS,IN,VICTORIA SPARTZ FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 10/29/21,,,2022-03-17 0:00:00,-2500,H,HOUSE,5,H0IN05326,"SPARTZ, VICTORIA",VICTORIA,SPARTZ,,,,IN,INDIANA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-29 3:36:20,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4042020221470986753,NOBLESVILLE,46061,CONTRIBUTIONS,,2022,SB,4042820221473211116,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500165289,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00428623,GOOGLE LLC NETPAC,2022,M5,202205209512526608,23,EB267765,1596896,CCM,CAMPAIGN COMMITTEE,C00765164,C00765164,ALEX PADILLA FOR SENATE,CA,ALEX PADILLA FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 3/11/22,,,2022-04-07 0:00:00,-2500,S,SENATE,,S2CA00955,"PADILLA, ALEX",ALEX,PADILLA,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-05-26 3:34:35,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4052020221492737807,LOS ANGELES,90017,CONTRIBUTIONS,,2022,SB,4052520221493578957,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512526608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
