representatives
"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]"
"Rep. Wilson, Frederica S. [D-FL-24]*"
"Rep. Levin, Andy [D-MI-9]*"
"Rep. Jayapal, Pramila [D-WA-7]*"
"Rep. Boyle, Brendan F. [D-PA-2]*"
"Rep. Beatty, Joyce [D-OH-3]*"
"Rep. Tonko, Paul [D-NY-20]*"
"Rep. Suozzi, Thomas R. [D-NY-3]*"
"Rep. Norcross, Donald [D-NJ-1]*"
"Rep. Newman, Marie [D-IL-3]*"
"Rep. Demings, Val Butler [D-FL-10]*"
"Rep. Dingell, Debbie [D-MI-12]*"
"Rep. Jackson Lee, Sheila [D-TX-18]*"
"Rep. Watson Coleman, Bonnie [D-NJ-12]*"
"Rep. Bonamici, Suzanne [D-OR-1]*"
"Rep. Barragan, Nanette Diaz [D-CA-44]*"
"Rep. Smith, Adam [D-WA-9]*"
"Rep. Pascrell, Bill, Jr. [D-NJ-9]*"
"Rep. Trahan, Lori [D-MA-3]*"
"Rep. Raskin, Jamie [D-MD-8]*"
"Rep. Lynch, Stephen F. [D-MA-8]*"
"Rep. Doyle, Michael F. [D-PA-18]*"
"Rep. Espaillat, Adriano [D-NY-13]*"
"Rep. DeGette, Diana [D-CO-1]*"
"Rep. Kaptur, Marcy [D-OH-9]*"
"Rep. Speier, Jackie [D-CA-14]*"
"Rep. Thompson, Bennie G. [D-MS-2]*"
"Rep. Cooper, Jim [D-TN-5]*"
"Rep. Connolly, Gerald E. [D-VA-11]*"
"Rep. Johnson, Eddie Bernice [D-TX-30]*"
"Rep. Davis, Danny K. [D-IL-7]*"
"Del. Norton, Eleanor Holmes [D-DC-At Large]*"
"Rep. McCollum, Betty [D-MN-4]*"
"Rep. Brownley, Julia [D-CA-26]*"
"Rep. Welch, Peter [D-VT-At Large]*"
"Rep. Lee, Barbara [D-CA-13]*"
"Rep. Wild, Susan [D-PA-7]*"
"Rep. Garamendi, John [D-CA-3]*"
"Rep. Pallone, Frank, Jr. [D-NJ-6]*"
"Rep. Carson, Andre [D-IN-7]*"
"Rep. Clarke, Yvette D. [D-NY-9]*"
"Rep. Sarbanes, John P. [D-MD-3]*"
"Rep. Blumenauer, Earl [D-OR-3]*"
"Rep. Pocan, Mark [D-WI-2]*"
"Rep. Bush, Cori [D-MO-1]*"
"Rep. Ryan, Tim [D-OH-13]*"
"Rep. Sires, Albio [D-NJ-8]*"
"Rep. Mrvan, Frank J. [D-IN-1]*"
"Rep. Takano, Mark [D-CA-41]*"
"Rep. Lowenthal, Alan S. [D-CA-47]*"
"Rep. Kildee, Daniel T. [D-MI-5]*"
"Rep. Cohen, Steve [D-TN-9]*"
"Rep. Wasserman Schultz, Debbie [D-FL-23]*"
"Rep. Hastings, Alcee L. [D-FL-20]*"
"Rep. Clark, Katherine M. [D-MA-5]*"
"Rep. DeSaulnier, Mark [D-CA-11]*"
"Rep. Bass, Karen [D-CA-37]*"
"Rep. Kelly, Robin L. [D-IL-2]*"
"Rep. Lawrence, Brenda L. [D-MI-14]*"
"Rep. Cleaver, Emanuel [D-MO-5]*"
"Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]*"
"Rep. Thompson, Mike [D-CA-5]*"
"Rep. McGovern, James P. [D-MA-2]*"
"Rep. DeLauro, Rosa L. [D-CT-3]*"
"Rep. Yarmuth, John A. [D-KY-3]*"
"Rep. Blunt Rochester, Lisa [D-DE-At Large]*"
"Rep. Pingree, Chellie [D-ME-1]*"
"Rep. Keating, William R. [D-MA-9]*"
"Rep. Swalwell, Eric [D-CA-15]*"
"Rep. Kahele, Kaiali'i [D-HI-2]*"
"Rep. Roybal-Allard, Lucille [D-CA-40]*"
"Rep. Ocasio-Cortez, Alexandria [D-NY-14]*"
"Rep. Bowman, Jamaal [D-NY-16]*"
"Rep. Khanna, Ro [D-CA-17]*"
"Rep. Gallego, Ruben [D-AZ-7]*"
"Rep. Underwood, Lauren [D-IL-14]*"
"Rep. Sánchez, Linda T. [D-CA-38]*"
"Rep. Courtney, Joe [D-CT-2]*"
"Rep. Bishop, Sanford D., Jr. [D-GA-2]*"
"Rep. Cárdenas, Tony [D-CA-29]*"
"Rep. Matsui, Doris O. [D-CA-6]*"
"Rep. Panetta, Jimmy [D-CA-20]*"
"Rep. DeFazio, Peter A. [D-OR-4]*"
