senators
"Sen. Murray, Patricia [D-WA]"
"Sen. Schumer, Charles E. [D-NY]*"
"Sen. Blumenthal, Richard [D-CT]*"
"Sen. Duckworth, Tammy [D-IL]*"
"Sen. Booker, Cory A. [D-NJ]*"
"Sen. Warren, Elizabeth [D-MA]*"
"Sen. Wyden, Ron [D-OR]*"
"Sen. Gillibrand, Kirsten E. [D-NY]*"
"Sen. Cantwell, Maria [D-WA]*"
"Sen. Murphy, Christopher [D-CT]*"
"Sen. Hassan, Margaret Wood [D-NH]*"
"Sen. Casey, Robert P., Jr. [D-PA]*"
"Sen. Cardin, Benjamin L. [D-MD]*"
"Sen. Merkley, Jeff [D-OR]*"
"Sen. Whitehouse, Sheldon [D-RI]*"
"Sen. Reed, Jack [D-RI]*"
"Sen. Durbin, Richard J. [D-IL]*"
"Sen. Kaine, Tim [D-VA]*"
"Sen. Klobuchar, Amy [D-MN]*"
"Sen. Brown, Sherrod [D-OH]*"
"Sen. Lujan, Ben Ray [D-NM]*"
"Sen. Menendez, Robert [D-NJ]*"
"Sen. Baldwin, Tammy [D-WI]*"
"Sen. Sanders, Bernard [I-VT]*"
"Sen. Cortez Masto, Catherine [D-NV]*"
"Sen. Van Hollen, Chris [D-MD]*"
"Sen. Markey, Edward J. [D-MA]*"
"Sen. Heinrich, Martin [D-NM]*"
"Sen. Hirono, Mazie K. [D-HI]*"
"Sen. Schatz, Brian [D-HI]*"
"Sen. Smith, Tina [D-MN]*"
"Sen. Leahy, Patrick J. [D-VT]*"
"Sen. Carper, Thomas R. [D-DE]*"
"Sen. Bennet, Michael F. [D-CO]*"
"Sen. Stabenow, Debbie [D-MI]*"
"Sen. Coons, Christopher A. [D-DE]*"
"Sen. Rosen, Jacky [D-NV]*"
"Sen. Tester, Jon [D-MT]*"
"Sen. Peters, Gary C. [D-MI]*"
"Sen. Padilla, Alex [D-CA]*"
"Sen. Shaheen, Jeanne [D-NH]*"
"Sen. Feinstein, Dianne [D-CA]*"
"Sen. Ossoff, Jon [D-GA]*"
"Sen. Warnock, Raphael G. [D-GA]*"
"Sen. Hickenlooper, John W. [D-CO]*"
"Sen. King, Angus S., Jr. [I-ME]"
"Sen. Manchin, Joe, III [D-WV]"
